uf,ano,valor,regiao
Maranhão,2019,1123803.0,Nordeste
Piauí,2019,520133.0,Nordeste
Ceará,2019,1559778.0,Nordeste
Rio Grande do Norte,2019,427102.0,Nordeste
Paraíba,2019,608801.0,Nordeste
Pernambuco,2019,1536040.0,Nordeste
Alagoas,2019,584861.0,Nordeste
Sergipe,2019,375131.0,Nordeste
Bahia,2019,1933369.0,Nordeste
Minas Gerais,2019,3396051.0,Sudeste
Espírito Santo,2019,697564.0,Sudeste
Rio de Janeiro,2019,1506798.0,Sudeste
São Paulo,2019,7249108.0,Sudeste
Paraná,2019,2226662.0,Sul
Santa Catarina,2019,1436410.0,Sul
Rio Grande do Sul,2019,1829584.0,Sul
Mato Grosso do Sul,2019,569408.0,Centro-Oeste
Mato Grosso,2019,657632.0,Centro-Oeste
Goiás,2019,1139751.0,Centro-Oeste
Distrito Federal,2019,609503.0,Centro-Oeste
