uf,ano,valor,regiao
Espírito Santo,1999,1141437.0,Sudeste
Rio de Janeiro,1999,4872715.0,Sudeste
São Paulo,1999,12673295.0,Sudeste
Paraná,1999,3018261.0,Sul
Santa Catarina,1999,1734001.0,Sul
Rio Grande do Sul,1999,3397620.0,Sul
Mato Grosso do Sul,1999,827388.0,Centro-Oeste
Mato Grosso,1999,907069.0,Centro-Oeste
Goiás,1999,1805937.0,Centro-Oeste
Distrito Federal,1999,796601.0,Centro-Oeste
Rondônia,2000,595405.0,Norte
Acre,2000,245193.0,Norte
Amazonas,2000,1198384.0,Norte
Roraima,2000,187080.0,Norte
Pará,2000,2886309.0,Norte
Amapá,2000,232258.0,Norte
Tocantins,2000,557200.0,Norte
Maranhão,2000,2453795.0,Nordeste
Piauí,2000,1208893.0,Nordeste
Ceará,2000,3403095.0,Nordeste
Rio Grande do Norte,2000,1048720.0,Nordeste
Paraíba,2000,1381868.0,Nordeste
Pernambuco,2000,3297620.0,Nordeste
Alagoas,2000,1196604.0,Nordeste
Sergipe,2000,796246.0,Nordeste
Bahia,2000,5131168.0,Nordeste
Minas Gerais,2000,6961244.0,Sudeste
Espírito Santo,2000,1214667.0,Sudeste
Rio de Janeiro,2000,5385808.0,Sudeste
São Paulo,2000,13842017.0,Sudeste
Paraná,2000,3750742.0,Sul
Santa Catarina,2000,1908182.0,Sul
Rio Grande do Sul,2000,3539671.0,Sul
Mato Grosso do Sul,2000,896172.0,Centro-Oeste
Mato Grosso,2000,1091090.0,Centro-Oeste
Goiás,2000,2040674.0,Centro-Oeste
Distrito Federal,2000,820415.0,Centro-Oeste
Rondônia,2001,634672.0,Norte
Acre,2001,281863.0,Norte
Amazonas,2001,1327220.0,Norte
Roraima,2001,162704.0,Norte
Pará,2001,3182573.0,Norte
Amapá,2001,342676.0,Norte
Tocantins,2001,591184.0,Norte
Maranhão,2001,2754985.0,Nordeste
Piauí,2001,1260538.0,Nordeste
Ceará,2001,3464853.0,Nordeste
Rio Grande do Norte,2001,1074655.0,Nordeste
Paraíba,2001,1463207.0,Nordeste
Pernambuco,2001,3308789.0,Nordeste
Alagoas,2001,1247844.0,Nordeste
Sergipe,2001,804610.0,Nordeste
Bahia,2001,5641897.0,Nordeste
Minas Gerais,2001,7888036.0,Sudeste
Espírito Santo,2001,1233262.0,Sudeste
Rio de Janeiro,2001,5263389.0,Sudeste
São Paulo,2001,13526097.0,Sudeste
Paraná,2001,3771473.0,Sul
Santa Catarina,2001,1929301.0,Sul
Rio Grande do Sul,2001,3605219.0,Sul
Mato Grosso do Sul,2001,937187.0,Centro-Oeste
Mato Grosso,2001,1089117.0,Centro-Oeste
Goiás,2001,2069557.0,Centro-Oeste
Distrito Federal,2001,798164.0,Centro-Oeste
Rondônia,2002,603409.0,Norte
Acre,2002,309201.0,Norte
Amazonas,2002,1360736.0,Norte
Roraima,2002,171102.0,Norte
Pará,2002,3209151.0,Norte
Amapá,2002,256112.0,Norte
Tocantins,2002,557207.0,Norte
Maranhão,2002,2714036.0,Nordeste
Piauí,2002,1247873.0,Nordeste
Ceará,2002,3335843.0,Nordeste
Rio Grande do Norte,2002,1068538.0,Nordeste
Paraíba,2002,1404985.0,Nordeste
Pernambuco,2002,3296188.0,Nordeste
Alagoas,2002,1287595.0,Nordeste
Sergipe,2002,774545.0,Nordeste
Bahia,2002,5316305.0,Nordeste
Minas Gerais,2002,6637190.0,Sudeste
Espírito Santo,2002,1176631.0,Sudeste
Rio de Janeiro,2002,5118198.0,Sudeste
São Paulo,2002,12763696.0,Sudeste
Paraná,2002,3547068.0,Sul
Santa Catarina,2002,1808394.0,Sul
Rio Grande do Sul,2002,3443527.0,Sul
Mato Grosso do Sul,2002,856199.0,Centro-Oeste
Mato Grosso,2002,1056545.0,Centro-Oeste
Goiás,2002,2055137.0,Centro-Oeste
Distrito Federal,2002,760178.0,Centro-Oeste
Rondônia,2003,567875.0,Norte
Acre,2003,300787.0,Norte
Amazonas,2003,1270370.0,Norte
Roraima,2003,168107.0,Norte
Pará,2003,3183958.0,Norte
Amapá,2003,263949.0,Norte
Tocantins,2003,529390.0,Norte
Maranhão,2003,2698158.0,Nordeste
Piauí,2003,1175552.0,Nordeste
Ceará,2003,3134287.0,Nordeste
Rio Grande do Norte,2003,1044353.0,Nordeste
Paraíba,2003,1320266.0,Nordeste
Pernambuco,2003,3220240.0,Nordeste
Alagoas,2003,1217980.0,Nordeste
Sergipe,2003,744964.0,Nordeste
Bahia,2003,5128938.0,Nordeste
Minas Gerais,2003,6206032.0,Sudeste
Espírito Santo,2003,1155743.0,Sudeste
Rio de Janeiro,2003,4888554.0,Sudeste
São Paulo,2003,12355211.0,Sudeste
Paraná,2003,3317332.0,Sul
Santa Catarina,2003,1767949.0,Sul
Rio Grande do Sul,2003,3280867.0,Sul
Mato Grosso do Sul,2003,814843.0,Centro-Oeste
Mato Grosso,2003,1014615.0,Centro-Oeste
Goiás,2003,1978045.0,Centro-Oeste
Distrito Federal,2003,776852.0,Centro-Oeste
Rondônia,2004,732052.0,Norte
Acre,2004,378766.0,Norte
Amazonas,2004,1581187.0,Norte
Roraima,2004,220949.0,Norte
Pará,2004,4313926.0,Norte
Amapá,2004,342556.0,Norte
Tocantins,2004,641107.0,Norte
Maranhão,2004,3305897.0,Nordeste
Piauí,2004,1494494.0,Nordeste
Ceará,2004,3773711.0,Nordeste
Rio Grande do Norte,2004,1312706.0,Nordeste
Paraíba,2004,1667647.0,Nordeste
Pernambuco,2004,3926773.0,Nordeste
Alagoas,2004,1700397.0,Nordeste
Sergipe,2004,897079.0,Nordeste
Bahia,2004,7135200.0,Nordeste
Minas Gerais,2004,7495444.0,Sudeste
Espírito Santo,2004,1412016.0,Sudeste
Rio de Janeiro,2004,5935843.0,Sudeste
São Paulo,2004,14952220.0,Sudeste
Paraná,2004,4267323.0,Sul
Santa Catarina,2004,2101818.0,Sul
Rio Grande do Sul,2004,3875775.0,Sul
Mato Grosso do Sul,2004,971764.0,Centro-Oeste
Mato Grosso,2004,1286775.0,Centro-Oeste
Goiás,2004,2634225.0,Centro-Oeste
Distrito Federal,2004,985282.0,Centro-Oeste
Rondônia,2005,698279.0,Norte
Acre,2005,353552.0,Norte
Amazonas,2005,1613814.0,Norte
Roraima,2005,210400.0,Norte
Pará,2005,3928530.0,Norte
Amapá,2005,323676.0,Norte
Tocantins,2005,633116.0,Norte
Maranhão,2005,3300894.0,Nordeste
Piauí,2005,1380359.0,Nordeste
Ceará,2005,3637003.0,Nordeste
Rio Grande do Norte,2005,1208144.0,Nordeste
Paraíba,2005,1591982.0,Nordeste
Pernambuco,2005,3728745.0,Nordeste
Alagoas,2005,1442279.0,Nordeste
Sergipe,2005,838923.0,Nordeste
Bahia,2005,6057144.0,Nordeste
Minas Gerais,2005,7335918.0,Sudeste
Espírito Santo,2005,1337730.0,Sudeste
Rio de Janeiro,2005,5737326.0,Sudeste
São Paulo,2005,14359891.0,Sudeste
Paraná,2005,3820725.0,Sul
Santa Catarina,2005,2049994.0,Sul
Rio Grande do Sul,2005,3626787.0,Sul
Mato Grosso do Sul,2005,945137.0,Centro-Oeste
Mato Grosso,2005,1266069.0,Centro-Oeste
Goiás,2005,2339329.0,Centro-Oeste
Distrito Federal,2005,954613.0,Centro-Oeste
Rondônia,2006,702254.0,Norte
Acre,2006,349014.0,Norte
Amazonas,2006,1685221.0,Norte
Roraima,2006,207007.0,Norte
Pará,2006,4003528.0,Norte
Amapá,2006,326160.0,Norte
Tocantins,2006,648132.0,Norte
Maranhão,2006,3338694.0,Nordeste
Piauí,2006,1409417.0,Nordeste
Ceará,2006,3555125.0,Nordeste
Rio Grande do Norte,2006,1214854.0,Nordeste
Paraíba,2006,1585239.0,Nordeste
Pernambuco,2006,3749519.0,Nordeste
Alagoas,2006,1399699.0,Nordeste
Sergipe,2006,867588.0,Nordeste
Bahia,2006,5968643.0,Nordeste
Minas Gerais,2006,7275695.0,Sudeste
Espírito Santo,2006,1350601.0,Sudeste
Rio de Janeiro,2006,5590987.0,Sudeste
São Paulo,2006,14512994.0,Sudeste
Paraná,2006,3912713.0,Sul
Santa Catarina,2006,2095555.0,Sul
Rio Grande do Sul,2006,3604845.0,Sul
Mato Grosso do Sul,2006,974966.0,Centro-Oeste
Mato Grosso,2006,1239094.0,Centro-Oeste
Goiás,2006,2366568.0,Centro-Oeste
Distrito Federal,2006,989724.0,Centro-Oeste
Rondônia,2007,671022.0,Norte
Acre,2007,386861.0,Norte
Amazonas,2007,1704003.0,Norte
Roraima,2007,218408.0,Norte
Pará,2007,3997712.0,Norte
Amapá,2007,326178.0,Norte
Tocantins,2007,647636.0,Norte
Maranhão,2007,3478280.0,Nordeste
Piauí,2007,1409679.0,Nordeste
Ceará,2007,3578539.0,Nordeste
Rio Grande do Norte,2007,1211525.0,Nordeste
Paraíba,2007,1612476.0,Nordeste
Pernambuco,2007,3819635.0,Nordeste
Alagoas,2007,1361961.0,Nordeste
Sergipe,2007,905294.0,Nordeste
Bahia,2007,5877705.0,Nordeste
Minas Gerais,2007,7274762.0,Sudeste
Espírito Santo,2007,1342801.0,Sudeste
Rio de Janeiro,2007,5644703.0,Sudeste
São Paulo,2007,14465201.0,Sudeste
Paraná,2007,3938642.0,Sul
Santa Catarina,2007,2082713.0,Sul
Rio Grande do Sul,2007,3507487.0,Sul
Mato Grosso do Sul,2007,987297.0,Centro-Oeste
Mato Grosso,2007,1263603.0,Centro-Oeste
